id	rate	linear	gaussian	random	outliers	bigGap	range350	range750up	gamma2.2	gamma.45	area_land_m	area_water_m	area_total_sqkm	FIPS
1001	0.097	0	-0.15	7731	65	60	19	971	0	0	1539584443	25773561	1565	1
1003	0.091	10	0.24	6880	30	99	7	951	0.039810717	123.2846739	4117629064	1133084680	5251	1
1005	0.134	20	0.14	9227	97	134	348	762	0.182922021	168.9432743	2291820953	50864677	2343	1
1007	0.121	30	-0.67	63	19	122	105	780	0.446340978	203.1338915	1612481768	9287964	1622	1
1009	0.099	40	-0.81	7118	96	65	14	825	0.840488897	231.5115824	1670041814	15077461	1685	1
1011	0.164	50	-1.8	7546	36	72	173	847	1.373200679	256.2257242	1613058451	6055020	1619	1
1013	0.167	60	-0.46	2101	57	47	122	880	2.050844587	278.3647282	2011976221	2727475	2015	1
1015	0.108	70	1.2	2865	63	105	294	963	2.878827801	298.5688969	1569245771	16568584	1586	1
1017	0.186	80	0.022	2422	93	80	80	959	3.861872855	317.2521249	1545009295	17048126	1562	1
1019	0.118	90	1.4	6834	27	86	97	910	5.00418689	334.6999798	1434129432	119805389	1554	1
1021	0.099	100	-0.1	8567	400	115	162	971	6.309573445	351.1191734	1794483668	20586275	1815	1
1023	0.127	110	-2.1	8789	1	64	70	786	7.781510492	366.6649544	2365954803	19059247	2385	1
1025	0.17	120	0.23	4891	34	118	122	787	9.423207215	381.4573795	3207612199	36542657	3244	1
1027	0.159	130	-0.22	8114	62	54	340	990	11.23764672	395.5915245	1564252220	5284585	1570	1
1029	0.104	140	0.57	9719	83	2	115	911	13.22761904	409.1441819	1450663481	2354898	1453	1
1031	0.085	150	0.31	9887	96	44	6	756	15.39574715	422.1784167	1758565665	3907876	1762	1
1033	0.114	160	-0.98	7962	59	46	313	823	17.74450798	434.7467617	1534878355	80029923	1615	1
1035	0.195	170	-0.15	1445	57	70	128	831	20.27624952	446.8935177	2201896148	6643478	2209	1
1037	0.14	180	-1	7589	90	87	179	824	22.99320499	458.6564469	1685891146	39946546	1726	1
1039	0.101	190	-0.68	1227	13	52	217	780	25.89750479	470.0680435	2668869603	34526168	2703	1
1041	0.097	200	0.026	6996	29	17	32	982	28.99118655	481.1565051	1576887981	5376388	1582	1
1043	0.096	210	-1.7	1433	28	62	12	969	32.27620375	491.9464843	1903376431	52118768	1955	1
1045	0.093	220	-0.92	1737	35	87	95	810	35.75443321	502.4596813	1453371192	4016457	1457	1
1047	0.211	230	-0.029	5416	56	130	46	949	39.42768146	512.7153137	2534807336	39134779	2574	1
1049	0.143	240	-0.26	25	32	16	160	876	43.29769051	522.7304956	2012664422	4121499	2017	1
1051	0.09	250	-1.1	5231	8	91	163	938	47.3661427	532.5205447	1601877327	99852764	1702	1
1053	0.129	260	0.15	2567	8	64	337	887	51.63466522	542.0992351	2447747109	20872958	2469	1
1055	0.107	270	-0.43	4686	72	44	216	874	56.10483392	551.4790055	1386505888	34436545	1421	1
1057	0.128	280	-0.15	83	30	136	150	751	60.77817691	560.6711326	1625693532	4330882	1630	1
1059	0.123	290	-0.63	2269	65	115	238	806	65.65617763	569.6858777	1641580723	32904833	1674	1
1061	0.1	300	0.43	6456	33	132	264	774	70.7402777	578.5326091	1487710550	11765163	1499	1
1063	0.147	310	-0.14	5914	37	57	266	952	76.03187952	587.219907	1676006854	33231188	1709	1
1065	0.127	320	1	9806	3	104	66	791	81.53234853	595.755653	1667803963	32525876	1700	1
1067	0.099	330	-0.72	947	87	129	167	958	87.24301539	604.1471067	1454926264	16986823	1472	1
1069	0.089	340	-0.2	5148	40	70	159	932	93.16517788	612.4009721	1501741569	4736091	1506	1
1071	0.118	350	-0.32	4321	56	126	247	824	99.30010268	620.5234551	2791664974	126657151	2918	1
1073	0.107	360	0.86	9540	94	89	201	906	105.649027	628.5203136	2878195232	32475072	2911	1
1075	0.148	370	1.2	1978	7	52	294	905	112.2131601	636.3969014	1566544626	1600679	1568	1
1077	0.105	380	2.4	5031	8	102	205	871	118.9936846	644.1582063	1729334658	134420368	1864	1
1079	0.136	390	-0.45	8607	57	63	146	815	125.9917579	651.8088846	1788847700	68687348	1858	1
1081	0.086	400	-0.069	5307	78	35	28	926	133.2085132	659.3532905	1573552207	21488919	1595	1
1083	0.093	410	-1.5	6512	81	89	122	984	140.6450607	666.7955029	1450233462	122374530	1573	1
1085	0.185	420	0.79	7544	69	121	189	764	148.3024886	674.1393492	1854201994	23721056	1878	1
1087	0.114	430	0.37	8092	35	27	125	767	156.1818642	681.3884262	1577005108	11194124	1588	1
1089	0.075	440	0.43	311	58	81	229	915	164.2842344	688.5461191	2076115375	28770709	2105	1
1091	0.148	450	0.51	6673	24	25	310	901	172.6106271	695.6156183	2530112418	14994543	2545	1
1093	0.152	460	-0.68	4809	96	20	151	825	181.1620514	702.5999351	1922526820	3313144	1926	1
1095	0.092	470	-1.5	51	31	62	231	841	189.9394987	709.5019147	1465522829	148503239	1614	1
1097	0.111	480	-2.2	2156	64	136	291	928	198.9439434	716.3242494	3184117214	1073855913	4258	1
1099	0.187	490	-0.21	5350	78	37	264	873	208.1763435	723.0694893	2656521228	22609674	2679	1
1101	0.102	500	0.47	5241	63	44	13	801	217.6376408	729.7400528	2031293264	40468751	2072	1
1103	0.104	510	-1.4	8332	4	132	3	898	227.3287623	736.338236	1500535114	51006068	1552	1
1105	0.198	520	-1.1	7171	94	123	188	828	237.25062	742.8662207	1863920367	10918481	1875	1
1107	0.13	530	-0.83	97	38	21	205	914	247.4041117	749.3260826	2282893925	22521211	2305	1
1109	0.087	540	-1.1	6792	52	98	127	752	257.7901217	755.7197982	1740741440	2336918	1743	1
1111	0.151	550	0.1	3704	15	41	166	899	268.4095209	762.0492512	1503616627	9285272	1513	1
1113	0.126	560	0.44	4718	20	39	245	948	279.2631674	768.3162387	1660584296	15635292	1676	1
1115	0.107	570	1.6	6874	70	132	86	803	290.3519068	774.5224763	1636625186	56293637	1693	1
1117	0.076	580	-0.6	9037	52	10	298	960	301.676573	780.6696035	2033020099	63637316	2097	1
1119	0.139	590	0.52	7615	35	37	225	933	313.2379879	786.7591881	2341060545	24433134	2365	1
1121	0.136	600	0.77	3400	80	130	28	851	325.0369625	792.7927305	1908244351	60939128	1969	1
1123	0.137	610	-0.92	2909	41	132	41	930	337.0742967	798.771668	1855779658	128809177	1985	1
1125	0.09	620	0.49	9121	52	149	125	781	349.3507797	804.6973778	3423158257	76566294	3500	1
1127	0.119	630	2.4	2438	33	133	86	977	361.8671907	810.5711811	2049182250	36258741	2085	1
1129	0.151	640	0.49	9279	58	75	125	946	374.6242985	816.3943457	2797722215	21650837	2819	1
1131	0.256	650	1.2	7450	46	10	332	846	387.6228627	822.1680895	2301199919	48985146	2350	1
1133	0.175	660	0.17	2202	7	133	146	821	400.8636331	827.8935826	1587615096	48922725	1637	1
2013	0.101	670	-0.82	5101	26	57	280	763	414.3473503	833.5719502	18082854844	20793145269	38876	2
2016	0.084	680	-0.91	5983	85	125	106	801	428.0747463	839.2042751	11370496382	25190642141	36561	2
2020	0.07	690	-0.53	4948	8	30	349	986	442.0465441	844.7915996	4415393286	663858926	5079	2
2050	0.148	700	0.46	4202	5	149	28	840	456.2634584	850.3349277	1.05E+11	12779539126	117856	2
2060	0.036	710	0.028	6072	22	70	276	987	470.7261956	855.835227	1304962204	993834924	2299	2
2068	0.034	720	-0.86	4880	100	7	316	876	485.4354541	861.2934307	33026406702	66068782	33092	2
2070	0.084	730	0.027	3912	44	115	277	873	500.3919245	866.7104388	48093060696	6077139202	54170	2
2090	0.069	740	-0.76	6865	75	60	25	827	515.5962896	872.0871205	19006935117	272298859	19279	2
2100	0.062	750	1.7	8472	28	64	347	776	531.0492251	877.4243147	6009021544	1049986695	7059	2
2110	0.057	760	-1.4	1746	1	54	137	876	546.7513991	882.7228324	6998180840	1429473426	8428	2
2122	0.097	770	-1	3370	93	88	162	811	562.7034727	887.9834571	41634474855	22473699700	64108	2
2130	0.061	780	-1.2	2121	350	87	250	923	578.9061002	893.2069469	12583288018	4649397262	17233	2
2150	0.066	790	0.43	6980	76	27	87	826	595.3599289	898.3940349	16963710731	14172770705	31136	2
2164	0.059	800	0.12	686	70	21	290	807	612.0655999	903.5454309	60641390970	24626906754	85268	2
2170	0.088	810	-0.83	9042	34	46	193	914	629.0237473	908.6618221	63735009183	1682052438	65417	2
2180	0.121	820	-0.53	4782	67	150	141	810	646.2349994	913.743874	59470568256	13767980127	73239	2
2185	0.057	830	-0.87	7440	12	13	53	978	663.699978	918.7922319	2.30E+11	15801027072	245522	2
2188	0.132	840	0.42	6518	93	68	304	774	681.4192989	923.807521	92638195354	12901066002	105539	2
2201	0.136	850	2.1	9071	17	45	339	851	699.3935722	928.7903479			19900	2
2220	0.059	860	-0.55	8031	56	105	330	768	717.6234019	933.7413008	7434284129	5027235256	12462	2
2232	0.073	870	-0.54	2620	13	86	97	774	736.1093866	938.6609508	1171510538	30331285	1202	2
2240	0.081	880	0.71	7514	91	48	129	882	754.8521194	943.5498523	64150204972	752764069	64903	2
2261	0.064	890	1.5	1271	68	69	60	975	773.8521876	948.4085435	88681049780	15799729384	104481	2
2270	0.204	900	0.61	3268	60	76	34	863	793.1101735	953.2375476	44240303572	6712008910	50952	2
2280	0.098	910	-0.44	4968	51	101	308	786	812.6266542	958.0373726	6582396501	2384303893	8967	2
2282	0.063	920	-1.3	3057	26	30	248	772	832.4022015	962.8085129	19811662400	4696570965	24508	2
2290	0.136	930	-0.041	1122	47	37	279	770	852.4373824	967.5514487	3.77E+11	5956675130	382813	2
4001	0.148	940	-1.3	8975	91	124	349	868	872.7327588	972.2666474	29001446852	54171648	29056	4
4003	0.074	950	-0.12	4629	41	150	42	935	893.288888	976.9545638	15968981851	137024899	16106	4
4005	0.077	960	0.011	7274	79	126	19	920	914.1063223	981.6156405	48222462009	109964003	48332	4
4007	0.109	970	0.72	6936	66	57	42	922	935.1856096	986.2503082	12323010025	97111871	12420	4
4009	0.144	980	0.5	329	82	7	299	932	956.5272932	990.8589866	11972307736	47704127	12020	4
4011	0.215	990	1	588	88	71	217	873	978.1319118	995.4420845	4773671754	13745297	4787	4
4012	0.089	1000	0.45	3665	39	77	318	798	1000	1000	11654002089	36568343	11691	4
4013	0.085	1010	0.8	3215	90	37	87	901	1022.132088	1004.533121	23826343357	64759063	23891	4
4015	0.102	1020	0.12	2643	85	40	348	768	1044.528701	1009.041827	34475300156	387348987	34863	4
4017	0.142	1030	0.86	4191	100	144	205	849	1067.190362	1013.526485	25771504246	24078098	25796	4
4019	0.084	1040	1.8	6450	46	90	316	759	1090.117588	1017.987457	23794315879	5272990	23800	4
4021	0.118	1050	0.45	6638	52	24	36	795	1113.310892	1022.425093	13897002061	22331517	13919	4
4023	0.172	1060	-0.31	9139	66	48	255	766	1136.770785	1026.839735	3203592833	3088043	3207	4
4025	0.095	1070	0.52	7470	23	25	137	890	1160.497772	1031.231719	21039908975	11501645	21051	4
4027	0.242	1080	-1.7	8892	87	29	201	935	1184.492355	1035.60137	14281187259	13175612	14294	4
5001	0.143	1090	0.99	7768	49	44	63	936	1208.755033	1039.949007	2560983561	116414546	2677	5
5003	0.091	1100	-0.11	2819	78	98	200	789	1233.286301	1044.274942	2396641855	39310622	2436	5
5005	0.082	1110	0.44	9452	78	7	14	815	1258.086648	1048.579479	1435587413	84022300	1520	5
5007	0.053	1120	0.48	7622	68	130	209	931	1283.156564	1052.862914	2194748637	94558303	2289	5
5009	0.064	1130	0.75	2456	60	9	36	894	1308.496531	1057.125539	1528950321	30222255	1559	5
5011	0.078	1140	0.12	4297	13	103	276	948	1334.107031	1061.367638	1681514451	9532926	1691	5
5013	0.062	1150	-1.5	6493	92	45	325	921	1359.98854	1065.589488	1627959476	9926129	1638	5
5015	0.043	1160	1.5	5782	100	140	272	835	1386.141532	1069.79136	1631636931	22387057	1654	5
5017	0.096	1170	0.94	8406	5	150	153	914	1412.566479	1073.97352	1668739972	120391647	1789	5
5019	0.063	1180	0.091	127	71	45	262	765	1439.263846	1078.136228	2243121924	43395969	2287	5
5021	0.104	1190	-0.34	6428	24	130	89	872	1466.234098	1082.279738	1656162437	5149697	1661	5
5023	0.059	1200	-0.95	2319	66	126	78	907	1493.477697	1086.404299	1434052319	99015212	1533	5
5025	0.06	1210	-0.56	3773	12	96	160	803	1520.995099	1090.510154	1548252046	2500385	1551	5
5027	0.081	1220	0.94	6208	19	60	118	782	1548.78676	1094.597542	1984077019	1803419	1986	5
5029	0.065	1230	-1.3	9501	72	108	183	963	1576.853132	1098.666696	1430338613	37323753	1468	5
5031	0.059	1240	-0.034	9945	96	107	71	778	1605.194664	1102.717844	1831689906	14144876	1846	5
5033	0.066	1250	0.74	515	22	85	295	848	1633.811801	1106.751211	1536121086	28859535	1565	5
5035	0.099	1260	-1.1	2756	40	66	174	987	1662.704987	1110.767016	1579530157	68675461	1648	5
5037	0.071	1270	-0.63	325	4	41	14	900	1691.874661	1114.765474	1596418461	15348593	1612	5
5039	0.076	1280	0.68	252	73	141	233	933	1721.321262	1118.746796	1728522953	1864048	1730	5
5041	0.099	1290	1.1	5812	58	13	4	958	1751.045224	1122.711187	1989503679	133059814	2123	5
5043	0.091	1300	-0.12	986	46	83	336	899	1781.046979	1126.658851	2145506687	18920694	2164	5
5045	0.06	1310	-2.5	1322	22	68	95	897	1811.326957	1130.589986	1678022127	41920337	1720	5
5047	0.059	1320	1.1	18	96	25	147	859	1841.885583	1134.504786	1576935154	27931280	1605	5
5049	0.061	1330	0.14	1634	50	82	102	873	1872.723284	1138.403443	1601113655	5527453	1607	5
5051	0.066	1340	0.18	5965	39	42	292	917	1903.840479	1142.286143	1755499327	147165438	1903	5
5053	0.057	1350	0.095	1411	21	136	175	767	1935.237588	1146.15307	1636383583	2897701	1639	5
5055	0.082	1360	0.27	3511	73	120	37	783	1966.915028	1150.004405	1496270637	4789563	1501	5
5057	0.086	1370	1	3873	98	6	167	875	1998.873212	1153.840324	1884268431	35371741	1920	5
5059	0.073	1380	0.75	5597	6	27	59	812	2031.112552	1157.661	1593384273	18035672	1611	5
5061	0.072	1390	0.047	3561	53	86	14	769	2063.633458	1161.466605	1524346568	17509480	1542	5
5063	0.078	1400	0.42	580	71	139	161	764	2096.436336	1165.257306	1978630939	19594216	1998	5
5065	0.077	1410	0.87	6809	50	117	316	964	2129.521592	1169.033265	1503685426	8912363	1513	5
5067	0.092	1420	-0.11	622	30	10	328	849	2162.889626	1172.794646	1641890239	19587838	1661	5
5069	0.092	1430	0.97	2980	4	97	168	931	2196.54084	1176.541606	2255220501	111446645	2367	5
5071	0.061	1440	0.5	869	19	86	257	898	2230.47563	1180.274301	1708890241	59408531	1768	5
5073	0.086	1450	-0.77	1014	51	82	158	841	2264.694393	1183.992883	1368208572	43539042	1412	5
5075	0.079	1460	0.98	9239	76	82	32	921	2299.197522	1187.697503	1521913336	12244879	1534	5
5077	0.082	1470	1.3	1938	62	8	336	931	2333.985408	1191.388309	1560781798	43720896	1605	5
5079	0.082	1480	0.66	7994	4	12	127	951	2369.058439	1195.065444	1454438325	27514936	1482	5
5081	0.056	1490	-1.6	9025	72	67	186	959	2404.417003	1198.729053	1378539228	84199070	1463	5
5083	0.077	1500	-0.5	6366	80	47	86	975	2440.061485	1202.379274	1834024909	60692562	1895	5
5085	0.052	1510	-1.6	528	66	148	70	927	2475.992267	1206.016245	1996702879	82664680	2079	5
5087	0.053	1520	0.56	2234	70	45	250	891	2512.209731	1209.640103	2160711712	7314801	2168	5
5089	0.112	1530	-0.11	1560	82	81	170	815	2548.714254	1213.250979	1546245413	112149478	1658	5
5091	0.045	1540	0.2	4297	49	109	172	831	2585.506214	1216.849005	1620264256	31239378	1652	5
5093	0.113	1550	-0.95	4163	27	98	68	947	2622.585985	1220.434309	2332480023	49826383	2382	5
5095	0.074	1560	0.022	4798	94	117	300	988	2659.95394	1224.007019	1572464721	36715115	1609	5
5097	0.058	1570	-0.28	8971	83	13	344	775	2697.61045	1227.567259	2019883335	52856397	2073	5
5099	0.087	1580	-0.4	3491	91	44	258	914	2735.555884	1231.11515	1600189832	7257493	1607	5
5101	0.062	1590	0.088	9742	2	149	321	950	2773.790609	1234.650815	2126135123	5931453	2132	5
5103	0.071	1600	-0.55	1150	71	36	102	967	2812.314991	1238.174371	1897900010	18050432	1916	5
5105	0.056	1610	1.5	2646	51	113	281	905	2851.129392	1241.685935	1428558008	23206783	1452	5
5107	0.088	1620	1	4332	2	51	324	916	2890.234175	1245.185623	1801752149	82056026	1884	5
5109	0.063	1630	0.26	3440	70	94	344	888	2929.629699	1248.673546	1555595989	34992288	1591	5
5111	0.075	1640	0.15	5456	74	115	44	943	2969.316323	1252.149818	1964196919	13522937	1978	5
5113	0.064	1650	0.31	202	82	8	278	839	3009.294402	1255.614546	2221380349	12384831	2234	5
5115	0.062	1660	-0.66	5775	93	15	59	823	3049.564292	1259.06784	2104499434	47197873	2152	5
5117	0.067	1670	0.65	9096	87	84	72	810	3090.126344	1262.509805	1678092392	71734973	1750	5
5119	0.06	1680	0.013	7376	93	121	10	759	3130.980911	1265.940546	1967784114	124034903	2092	5
5121	0.073	1690	-0.84	5295	51	10	250	787	3172.128341	1269.360167	1689165987	9968439	1699	5
5123	0.094	1700	1.6	6821	95	9	193	979	3213.568983	1272.768768	1644111286	20050005	1664	5
5125	0.058	1710	-0.42	7902	42	123	15	850	3255.303183	1276.16645	1874122944	17837083	1892	5
5127	0.063	1720	0.24	466	36	47	88	943	3297.331285	1279.553311	2311096574	14900915	2326	5
5129	0.059	1730	1.7	3833	32	36	292	886	3339.653632	1282.929449	1725177056	6256643	1731	5
5131	0.062	1740	0.34	2967	30	22	182	893	3382.270566	1286.294958	1377593383	36908703	1415	5
5133	0.051	1750	1.3	4783	57	114	292	809	3425.182426	1289.649934	1463672401	41829020	1506	5
5135	0.078	1760	-1.4	3239	13	85	304	949	3468.389551	1292.994469	1565489406	5172583	1571	5
